"","Request.id","Pickup.point","Driver.id","Status","Request.timestamp","Drop.timestamp","Request.date","Request.day","Request.time","Request.hour","Drop.time","Drop.hour","Approx.travel.time","Request.time_slot"
"1",619,"Airport",1,"Trip Completed",2016-07-11 11:51:00,2016-07-11 13:00:00,"2016/07/11","Monday","11:51",11,"13:00","13",1.15,"Late morning"
"2",867,"Airport",1,"Trip Completed",2016-07-11 17:57:00,2016-07-11 18:47:00,"2016/07/11","Monday","17:57",17,"18:47","18",0.83,"Late afternoon"
"3",1807,"City",1,"Trip Completed",2016-07-12 09:17:00,2016-07-12 09:58:00,"2016/07/12","Tuesday","09:17",9,"09:58","09",0.68,"Mid morning"
"4",2532,"Airport",1,"Trip Completed",2016-07-12 21:08:00,2016-07-12 22:03:00,"2016/07/12","Tuesday","21:08",21,"22:03","22",0.92,"Mid evening"
"5",3112,"City",1,"Trip Completed",2016-07-13 08:33:00,2016-07-13 09:25:00,"2016/07/13","Wednesday","08:33",8,"09:25","09",0.87,"Early morning"
"6",3879,"Airport",1,"Trip Completed",2016-07-13 21:57:00,2016-07-13 22:28:00,"2016/07/13","Wednesday","21:57",21,"22:28","22",0.52,"Mid evening"
"7",4270,"Airport",1,"Trip Completed",2016-07-14 06:15:00,2016-07-14 07:13:00,"2016/07/14","Thursday","06:15",6,"07:13","07",0.97,"Late overnight"
"8",5510,"Airport",1,"Trip Completed",2016-07-15 05:11:00,2016-07-15 06:07:00,"2016/07/15","Friday","05:11",5,"06:07","06",0.93,"Late overnight"
"9",6248,"City",1,"Trip Completed",2016-07-15 17:57:00,2016-07-15 18:50:00,"2016/07/15","Friday","17:57",17,"18:50","18",0.88,"Late afternoon"
"10",267,"City",2,"Trip Completed",2016-07-11 06:46:00,2016-07-11 07:25:00,"2016/07/11","Monday","06:46",6,"07:25","07",0.65,"Late overnight"
"11",1467,"Airport",2,"Trip Completed",2016-07-12 05:08:00,2016-07-12 06:02:00,"2016/07/12","Tuesday","05:08",5,"06:02","06",0.9,"Late overnight"
"12",1983,"City",2,"Trip Completed",2016-07-12 12:30:00,2016-07-12 12:57:00,"2016/07/12","Tuesday","12:30",12,"12:57","12",0.45,"Late morning"
"13",2784,"Airport",2,"Trip Completed",2016-07-13 04:49:00,2016-07-13 05:23:00,"2016/07/13","Wednesday","04:49",4,"05:23","05",0.57,"Mid overnight"
"14",3075,"City",2,"Trip Completed",2016-07-13 08:02:00,2016-07-13 09:16:00,"2016/07/13","Wednesday","08:02",8,"09:16","09",1.23,"Early morning"
"15",3379,"City",2,"Trip Completed",2016-07-13 14:23:00,2016-07-13 15:35:00,"2016/07/13","Wednesday","14:23",14,"15:35","15",1.2,"Early afternoon"
"16",3482,"Airport",2,"Trip Completed",2016-07-13 17:23:00,2016-07-13 18:20:00,"2016/07/13","Wednesday","17:23",17,"18:20","18",0.95,"Late afternoon"
"17",4652,"City",2,"Trip Completed",2016-07-14 12:01:00,2016-07-14 12:36:00,"2016/07/14","Thursday","12:01",12,"12:36","12",0.58,"Late morning"
"18",5335,"Airport",2,"Trip Completed",2016-07-14 22:24:00,2016-07-14 23:18:00,"2016/07/14","Thursday","22:24",22,"23:18","23",0.9,"Mid evening"
"19",535,"Airport",3,"Trip Completed",2016-07-11 10:00:00,2016-07-11 10:31:00,"2016/07/11","Monday","10:00",10,"10:31","10",0.52,"Mid morning"
